English,Portuguese
station,estação
acting,atuando
accept,aceitar
blow,golpe
strange,estranho
saved,salvou
Ivy or ivy,Ivy ou Ivy
conversation,conversação
plane,avião
mama,Mama
yesterday,ontem
lied,mentiu
quick,rápido
lately,recentemente
stuck,grudou
lovely,encantador
security,segurança
report,relatório
Barbara,Barbara
difference,diferença
rid,livrar
tv or TV,TV ou TV
Adam,Adão
store,armazenar
she'd,cabana
bag,sacola
Mike,Mike
bought,comprado
ball,bola
single,solteiro
Kevin,Kevin
doubt,dúvida
listening,ouvindo
major,formar-se
walking,andando
cops,policiais
blue,azul
deep,profundo
dangerous,perigoso
Buffy,Buffy
park or Park,Parque ou estacionamento
sleeping,adormecido
Chloe,Chloe
Rafe,Rafe
shh,shh
record,registro
lord,senhor
Erica,Érica
moved,mudou-se
join,Junte
key,chave
captain,capitão
card,cartão
crime,crime
gentlemen,cavalheiros
willing,disposto
window,janela
return,Retorna
walked,caminhou
guilty,culpado
Brenda,Brenda
likes,curtidas
fighting,brigando
difficult,difícil
soul,alma
joke,Piada
service,serviço
magic,Magia
favorite,favorito
uncle,tio
promised,prometido
public,público
bother,irmão
island,ilha
Jim,Jim
seriously,a sério
cell,célula
lead,conduzir
knowing,sabendo
broken,quebrado
advice,adendo
somehow,de alguma forma
paid,pago
Blair,Blair
losing,perdendo
push,Empurre
helped,ajudou
killing,matando
usually,usualmente
earlier,mais cedo
boss,chefe
Laura,Laura
beginning,começo
liked,apreciado
innocent,inocente
doc,Doc
rules,as regras
Elizabeth,Elizabeth
Sabrina,Sabrina
summer or Summer,verão ou verão
ex,ex
cop,policial
learned,aprendido
thirty,trinta
risk,risco
letting,de locação
Phillip,Phillip
speaking,Falando
officer,Policial
ridiculous,ridículo
support,"Apoio, suporte"
afternoon,tarde
Eric,Eric
born,nascido
dreams,sonhos
apologize,desculpar-se
seat,assento
nervous,nervoso
across,através
song,música
Olivia,Olivia
charge,carregar
patient,paciente
Cassie,Cassie
boat,barco
how'd,Como
brain,cérebro
hide,ocultar
detective,detetive
Aaron,Aaron
Kendall,Kendall
general,em geral
Tom,Tom
planning,planejamento
nine,nove
huge,enorme
breakfast,café da manhã
horrible,horrível
age,era
awful,horrível
pleasure,prazer
driving,dirigindo
hanging,pendurado
picked,escolhido
system,sistema
sell,vender
quit,Sair
apparently,aparentemente
dying,moribundo
notice,perceber
Josh,Josh
congratulations,Parabéns
chief,chefe
faith,fé
Simon,Simon
gay,gay
ho or Ho,ho ou ho
one's,uns
month,mês
visit,Visita
Hal,Coisa
could've,poderia ter
c'mon,isso é
aw,C
Edmund,Edmund
Brady,Brady
letter,carta
decide,decidir
American,americano
double,em dobro
Troy,Troy
sad,triste
press,pressione
forward,frente
fool,idiota
showed,mostrou
smell,cheiro
seemed,pareceu
Mary,Mary
spell,soletrar
Courtney,Courtney
memory,memória
Mark or mark,Marca ou marca
Alan,Alan
pictures,As fotos
Paris,Paris
slow,lento
Joe or joe,Joe ou Joe
Tim,Tim
seconds,segundos
hungry,com fome
board,quadro
position,posição
hearing,audição
Roz,Rosa
kitchen,cozinha
ma'am,Senhora
Bob or bob,Bob ou Bob
force,força
fly,voe
during,durante
space,espaço
should've,deveria ter
realized,percebi
experience,experiência
kick,chute
others,outros
grab,agarrar
mother's,da mãe
P.,P.
Sharon,Sharon
discuss,discutir
third,terceiro
cat or Cat,gato ou gato
fifty,cinquenta
responsible,responsável
Jennifer,Jennifer
Philip,Philip
miles or Miles,milhas ou milhas
fat,gordo
reading,leitura
idiot,idiota
yep,Sim
rock,Rocha
rich,rico
suddenly,De repente
agent,agente
bunch,monte
destroy,destruir
bucks,Bucks
track,acompanhar
shoes,sapatos
scene,cena
peace,Paz
arms,braços
demon,demônio
Diane,Diane
Bridget,Bridget
Brad,Brad
low,baixo
Livvie,Livvie
consider,considerar
papers,papéis
medical,médico
incredible,incrível
witch,bruxa
er,é
drunk,bêbado
attorney,advogado
Charlie,Charlie
tells,diz
knock,bater
Karen,Karen
ways,caminhos
eh,Eh
belle or Belle,Belo ouro
cash or Cash,dinheiro ou dinheiro
gives,dá
department,departamento
nose,nariz
Skye,Skye
turns,curva
keeps,mantém
beer,Cerveja
jealous,com ciumes
drug,medicamento
Molly,Molly
sooner,mais cedo
cares,Cuidados
plenty,bastante
extra,extra
tea,chá
won,Ganhou
attack,ataque
ground,chão
whose,de quem
outta,outta
Kyle,Kyle
L.,EU.
weekend,fim de semana
