,English,Portuguese
0,station,estação
1,acting,atuando
2,accept,aceitar
3,blow,golpe
4,strange,estranho
5,saved,salvou
6,Ivy or ivy,Ivy ou Ivy
7,conversation,conversação
8,plane,avião
9,mama,Mama
10,yesterday,ontem
11,lied,mentiu
12,quick,rápido
13,lately,recentemente
14,stuck,grudou
15,lovely,encantador
16,security,segurança
17,report,relatório
18,Barbara,Barbara
19,difference,diferença
20,rid,livrar
21,tv or TV,TV ou TV
22,Adam,Adão
23,store,armazenar
24,she'd,cabana
25,bag,sacola
26,bought,comprado
27,ball,bola
28,single,solteiro
29,Kevin,Kevin
30,doubt,dúvida
31,listening,ouvindo
32,major,formar-se
33,walking,andando
34,cops,policiais
35,blue,azul
36,deep,profundo
37,dangerous,perigoso
38,Buffy,Buffy
39,park or Park,Parque ou estacionamento
40,sleeping,adormecido
41,Chloe,Chloe
42,Rafe,Rafe
43,shh,shh
44,record,registro
45,lord,senhor
46,Erica,Érica
47,moved,mudou-se
48,join,Junte
49,key,chave
50,captain,capitão
51,card,cartão
52,crime,crime
53,gentlemen,cavalheiros
54,willing,disposto
55,window,janela
56,return,Retorna
57,walked,caminhou
58,guilty,culpado
59,Brenda,Brenda
60,likes,curtidas
61,fighting,brigando
62,difficult,difícil
63,soul,alma
64,joke,Piada
65,service,serviço
66,magic,Magia
67,favorite,favorito
68,uncle,tio
69,promised,prometido
70,public,público
71,bother,irmão
72,island,ilha
73,Jim,Jim
74,seriously,a sério
75,cell,célula
76,lead,conduzir
77,knowing,sabendo
78,broken,quebrado
79,advice,adendo
80,somehow,de alguma forma
81,paid,pago
82,Blair,Blair
83,losing,perdendo
84,push,Empurre
85,helped,ajudou
86,killing,matando
87,usually,usualmente
88,earlier,mais cedo
89,boss,chefe
90,Laura,Laura
91,beginning,começo
92,liked,apreciado
93,innocent,inocente
94,doc,Doc
95,rules,as regras
96,Elizabeth,Elizabeth
97,Sabrina,Sabrina
98,summer or Summer,verão ou verão
99,ex,ex
100,cop,policial
101,learned,aprendido
102,thirty,trinta
103,risk,risco
104,letting,de locação
105,Phillip,Phillip
106,speaking,Falando
107,officer,Policial
108,ridiculous,ridículo
109,support,"Apoio, suporte"
110,afternoon,tarde
111,Eric,Eric
112,born,nascido
113,dreams,sonhos
114,apologize,desculpar-se
115,seat,assento
116,nervous,nervoso
117,across,através
118,song,música
119,Olivia,Olivia
120,charge,carregar
121,patient,paciente
122,Cassie,Cassie
123,boat,barco
124,how'd,Como
125,brain,cérebro
126,hide,ocultar
127,detective,detetive
128,Aaron,Aaron
129,Kendall,Kendall
130,general,em geral
131,Tom,Tom
132,planning,planejamento
133,nine,nove
134,huge,enorme
135,breakfast,café da manhã
136,horrible,horrível
137,age,era
138,awful,horrível
139,pleasure,prazer
140,driving,dirigindo
141,hanging,pendurado
142,picked,escolhido
143,system,sistema
144,sell,vender
145,quit,Sair
146,apparently,aparentemente
147,dying,moribundo
148,notice,perceber
149,Josh,Josh
150,congratulations,Parabéns
151,chief,chefe
152,faith,fé
153,Simon,Simon
154,ho or Ho,ho ou ho
155,one's,uns
156,month,mês
157,visit,Visita
158,Hal,Coisa
159,could've,poderia ter
160,c'mon,isso é
161,aw,C
162,Edmund,Edmund
163,Brady,Brady
164,letter,carta
165,decide,decidir
166,American,americano
167,double,em dobro
168,Troy,Troy
169,sad,triste
170,press,pressione
171,forward,frente
172,fool,idiota
173,smell,cheiro
174,seemed,pareceu
175,Mary,Mary
176,spell,soletrar
177,Courtney,Courtney
178,memory,memória
179,Mark or mark,Marca ou marca
180,Alan,Alan
181,pictures,As fotos
182,Paris,Paris
183,slow,lento
184,Joe or joe,Joe ou Joe
185,Tim,Tim
186,seconds,segundos
187,hungry,com fome
188,board,quadro
189,position,posição
190,hearing,audição
191,Roz,Rosa
192,kitchen,cozinha
193,ma'am,Senhora
194,Bob or bob,Bob ou Bob
195,force,força
196,fly,voe
197,during,durante
198,space,espaço
199,should've,deveria ter
200,realized,percebi
201,experience,experiência
202,kick,chute
203,others,outros
204,grab,agarrar
205,mother's,da mãe
206,P.,P.
207,Sharon,Sharon
208,discuss,discutir
209,third,terceiro
210,cat or Cat,gato ou gato
211,fifty,cinquenta
212,responsible,responsável
213,Jennifer,Jennifer
214,Philip,Philip
215,miles or Miles,milhas ou milhas
216,fat,gordo
217,idiot,idiota
218,yep,Sim
219,rock,Rocha
220,rich,rico
221,suddenly,De repente
222,agent,agente
223,destroy,destruir
224,bucks,Bucks
225,track,acompanhar
226,shoes,sapatos
227,scene,cena
228,peace,Paz
229,arms,braços
230,demon,demônio
231,Diane,Diane
232,Bridget,Bridget
233,Brad,Brad
234,low,baixo
235,Livvie,Livvie
236,consider,considerar
237,papers,papéis
238,medical,médico
239,incredible,incrível
240,witch,bruxa
241,er,é
242,drunk,bêbado
243,attorney,advogado
244,Charlie,Charlie
245,tells,diz
246,knock,bater
247,Karen,Karen
248,ways,caminhos
249,eh,Eh
250,belle or Belle,Belo ouro
251,cash or Cash,dinheiro ou dinheiro
252,gives,dá
253,department,departamento
254,nose,nariz
255,Skye,Skye
256,turns,curva
257,keeps,mantém
258,beer,Cerveja
259,jealous,com ciumes
260,drug,medicamento
261,Molly,Molly
262,sooner,mais cedo
263,cares,Cuidados
264,plenty,bastante
265,extra,extra
